"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Account Management API","4","0","","0"
"0","","0","User Login","2","0","","0"
"0","","0","Brands API","2","0","","0"
"0","","0","User Registration","1","0","","0"
"0","","0","Products API","2","0","","0"
"0","","0","Login Verification API","4","0","","0"
"0","","0","Shopping Cart","2","0","","0"
"0","","0","Search Product API","2","0","","0"
"0","","0","Product Search UI","1","0","","0"
