"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2927","User logs in with valid credentials","","2026-03-17","passed","2026-03-17","","","",""
"","168","Verify login with valid credentials returns User exists","","2026-03-17","passed","2026-03-17","","","",""
"","510","Get all products returns 200 and non-empty list","","2026-03-17","passed","2026-03-17","","","",""
"","5784","New user registers successfully","","2026-03-17","passed","2026-03-17","","","",""
"","303","Search product with valid keyword returns matching results","","2026-03-17","passed","2026-03-17","","","",""
